X,Y,Class
1.620554982,7.376855491,1
7.107478858,0.148103032,0
-3.496541568,1.551032709,1
-0.654750549,-6.032248041,0
5.143131954,2.708310604,0
-3.12721884,2.05184003,1
7.550931884,2.83898588,0
-2.63297719,0.042491538,1
5.229297916,0.307722949,0
-0.101684263,-2.90608858,0
5.229297916,0.307722949,0
1.999864429,-5.640311509,0
0.686866488,5.562231532,1
-3.600082442,-1.074708954,1
-0.079321143,-6.163821119,1
0.301296332,-5.579182373,0
-3.057360396,-0.675332338,1
-0.847945303,-4.498491291,0
0.281378992,-6.903961677,0
-3.951860707,0.621123331,1
7.550931884,2.83898588,0
-1.018286828,-2.009827843,0
5.229297916,0.307722949,0
-1.701720574,0.048686103,1
-2.173957383,-0.403676228,0
-4.88599239,0.992156529,1
1.796499137,-3.486550489,0
7.107478858,0.148103032,0
-3.850193364,-0.853859434,0
-4.835744277,0.848754549,1
-2.406263804,-0.016510654,1
7.218498247,1.274232653,0
-2.449222915,-0.439684463,1
-1.186537798,5.722356455,1
0.792585605,1.884025374,1
-1.884109336,1.262856613,1
2.220212005,-2.492269398,0
5.143131954,2.708310604,0
-0.498790019,-4.10828049,0
-1.515873459,-2.627295881,0
5.229297916,0.307722949,0
6.024590326,0.347451133,0
5.599404056,-0.958487206,0
0.699123375,-4.88681301,0
-0.717668914,1.14784206,1
-3.413108926,0.710018258,1
-2.335878758,-4.618145307,0
-1.458240141,-3.059233972,0
-2.603563929,-3.527485457,0
-3.313812299,4.234188451,1
-2.021171612,2.644964005,1
-4.224688971,1.876055555,1
-4.565576358,1.313618452,1
-5.157603811,4.917600189,1
-4.636219207,0.688047872,1
-4.654114849,4.338579733,1
-3.863244022,2.221790751,1
-0.311817996,-4.423742195,0
-3.073875029,2.436682574,1
-5.084179075,0.7926643,1
6.343716884,-2.881138323,0
-2.496150569,1.853167124,1
-1.613014229,1.386018959,1
-1.212191105,-3.412700428,0
-1.559963462,2.94106341,1
6.024590326,0.347451133,0
2.126321936,-3.151432776,0
4.889108369,2.006123479,0
-2.323314115,-0.647087772,0
0.407621569,-3.357689599,0
-2.356072929,2.159191876,1
-1.635228521,0.724730978,1
7.550931884,2.83898588,0
0.981940961,5.721569908,1
-5.420929867,0.840197291,1
-1.577788485,2.547536813,1
-2.334471019,-2.720154853,0
-2.212115195,1.896303036,1
-1.499045982,-0.401549748,1
0.986818021,0.618780449,1
7.550931884,2.83898588,0
-0.24787803,-3.77177359,0
-1.698493387,-4.811964569,0
-1.467953019,-1.868963491,0
-4.334937251,0.666937381,1
1.017319788,-0.346426391,0
1.400591869,-6.214985242,0
7.550931884,2.83898588,0
5.599404056,-0.958487206,0
-3.564274567,1.688173112,1
-4.424574984,0.013745141,1
7.550931884,2.83898588,0
5.279916296,-0.173757299,0
-0.321663143,-4.749849036,0
-2.019526719,1.434280664,1
5.292906057,-1.183186634,0
-2.241500509,4.189832815,1
-5.465524098,1.804412053,1
7.107478858,0.148103032,0
2.362472035,1.478782585,0
-2.296800448,-5.113530179,0
6.024590326,0.347451133,0
1.465241244,6.753363096,1
1.349177051,-3.64230576,0
-2.500666873,0.407690148,0
5.279916296,-0.173757299,0
-3.808542521,0.133550229,1
1.958430895,-3.042324691,0
-2.02565753,-1.714575272,0
-2.729785382,-0.284655237,1
-2.587985606,0.5158577,1
-2.729785382,-0.284655237,1
-3.56767655,1.338642342,1
-0.841990831,-7.940766699,0
-5.795000855,3.166944513,1
4.216199491,-1.074474769,0
-4.483076871,2.843644012,1
-1.337942268,-3.009536764,0
7.218498247,1.274232653,0
